ACEInhibitors	8620	10024335	E	E
ACEInhibitors	5764	10027665	E	E
ACEInhibitors	8616	10027935	E	E
ACEInhibitors	8617	10028936	E	E
ACEInhibitors	8622	10029645	I	E
ACEInhibitors	5491	10029788	E	E
ACEInhibitors	262	10030325	E	E
ACEInhibitors	10552	10047639	E	E
ACEInhibitors	244	10049657	E	E
ACEInhibitors	10555	10051289	E	E
ACEInhibitors	8618	10053176	E	E
ACEInhibitors	3105	10063787	E	E
ACEInhibitors	5476	10066961	E	E
ACEInhibitors	282	10067800	E	E
ACEInhibitors	8189	10069777	E	E
ACEInhibitors	223	10072218	E	E
ACEInhibitors	5856	10073748	E	E
ACEInhibitors	228	10073783	E	E
ACEInhibitors	7688	10073846	I	E
ACEInhibitors	329	10075143	E	E
ACEInhibitors	1625	10075388	E	E
ACEInhibitors	347	10077374	E	E
ACEInhibitors	7648	10078088	I	E
ACEInhibitors	304	10080414	E	E
ACEInhibitors	340	10080455	E	E
ACEInhibitors	10492	10080457	I	I
ACEInhibitors	221	10082500	E	E
ACEInhibitors	350	10083055	E	E
ACEInhibitors	5806	10086852	E	E
ACEInhibitors	7668	10088066	I	E
ACEInhibitors	3419	10089936	E	E
ACEInhibitors	2531	10090111	E	E
ACEInhibitors	233	10090348	E	E
ACEInhibitors	2104	10090351	E	E
ACEInhibitors	5323	10091486	E	E
ACEInhibitors	240	10091816	E	E
ACEInhibitors	298	10091821	E	E
ACEInhibitors	3608	10093076	E	E
ACEInhibitors	6567	10093769	E	E
ACEInhibitors	8665	10095796	E	E
ACEInhibitors	8136	10097934	E	E
ACEInhibitors	426	10099033	E	E
ACEInhibitors	394	10099034	E	E
ACEInhibitors	418	10099064	E	E
ACEInhibitors	3104	10099075	E	E
ACEInhibitors	7863	10099910	I	E
ACEInhibitors	8600	10100063	E	E
ACEInhibitors	8599	10100064	E	E
ACEInhibitors	236	10100068	E	E
ACEInhibitors	252	10100083	E	E
ACEInhibitors	7398	10100105	E	E
ACEInhibitors	6134	10130617	E	E
ACEInhibitors	9189	10150320	E	E
ACEInhibitors	3197	10150325	E	E
ACEInhibitors	4196	10155301	E	E
ACEInhibitors	5027	10164060	E	E
ACEInhibitors	7984	10169388	E	E
ACEInhibitors	1960	10170450	E	E
ACEInhibitors	4303	10172139	E	E
ACEInhibitors	2072	10178659	E	E
ACEInhibitors	8596	10190395	E	E
ACEInhibitors	8595	10190404	E	E
ACEInhibitors	320	10190422	E	E
ACEInhibitors	292	10190653	E	E
ACEInhibitors	5425	10192229	E	E
ACEInhibitors	217	10192233	E	E
ACEInhibitors	310	10192973	E	E
ACEInhibitors	4359	10193712	E	E
ACEInhibitors	5235	10193713	E	E
ACEInhibitors	5790	10195086	E	E
ACEInhibitors	4915	10204820	E	E
ACEInhibitors	300	10209075	E	E
ACEInhibitors	6142	10211343	E	E
ACEInhibitors	308	10216796	E	E
ACEInhibitors	309	10218721	E	E
ACEInhibitors	2721	10218737	E	E
ACEInhibitors	322	10219067	E	E
ACEInhibitors	6517	10220232	E	E
ACEInhibitors	6318	10220238	E	E
ACEInhibitors	6048	10220239	E	E
ACEInhibitors	239	10220541	E	E
ACEInhibitors	280	10221346	E	E
ACEInhibitors	7672	10226860	I	E
ACEInhibitors	8064	10229295	E	E
ACEInhibitors	8577	10229744	E	E
ACEInhibitors	8578	10232497	E	E
ACEInhibitors	297	10232685	E	E
ACEInhibitors	6003	10235696	E	E
ACEInhibitors	456	10321443	E	E
ACEInhibitors	2452	10321444	E	E
ACEInhibitors	7944	10323377	E	E
ACEInhibitors	2980	10326170	E	E
ACEInhibitors	5972	10326532	E	E
ACEInhibitors	5931	10327128	E	E
